City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Imbituba,BR,2021-09-18 20:00:36,-28.24,-48.6703,70.81,84,70,9.35
60,Qaanaaq,GL,2021-09-18 19:59:48,77.484,-69.3632,13.1,73,85,6.2
61,Tuktoyaktuk,CA,2021-09-18 20:00:37,69.4541,-133.0374,41.0,100,90,3.44
62,Pyaozerskiy,RU,2021-09-18 20:00:38,65.8333,31.1667,41.76,76,100,2.89
63,Isangel,VU,2021-09-18 20:00:39,-19.55,169.2667,71.37,72,31,12.53
64,Panzhihua,CN,2021-09-18 20:00:36,26.5851,101.7128,69.33,95,100,2.39
65,Liuzhou,CN,2021-09-18 19:59:58,24.3126,109.3892,79.0,84,1,3.65
66,Lavrentiya,RU,2021-09-18 20:00:39,65.5833,-171.0,41.47,75,62,5.53
67,Victoria,HK,2021-09-18 19:58:05,22.2855,114.1577,85.98,84,91,10.04
68,Katsuura,JP,2021-09-18 20:00:40,35.1333,140.3,73.51,91,99,26.49
69,Saint George,US,2021-09-18 20:00:13,37.1041,-113.5841,73.54,34,62,5.26
70,Novyy Urengoy,RU,2021-09-18 20:00:41,66.0833,76.6333,37.56,90,89,12.01
71,Burgeo,CA,2021-09-18 20:00:41,47.6167,-57.6152,63.09,98,83,10.85
72,Puerto Ayora,EC,2021-09-18 19:59:37,-0.7393,-90.3518,82.36,93,83,7.0
73,Verkhnevilyuysk,RU,2021-09-18 20:00:42,63.4453,120.3167,33.66,73,84,5.57
74,Provideniya,RU,2021-09-18 20:00:43,64.3833,-173.3,44.04,86,1,7.16
75,Sibi,PK,2021-09-18 20:00:43,29.5448,67.8764,97.16,25,0,1.66
76,Barrow,US,2021-09-18 19:59:57,71.2906,-156.7887,30.22,93,75,13.8
77,Acarau,BR,2021-09-18 20:00:44,-2.8856,-40.12,81.77,66,3,19.46
78,Khatanga,RU,2021-09-18 20:00:45,71.9667,102.5,27.63,74,0,12.71
79,Boguchany,RU,2021-09-18 20:00:45,58.3814,97.4531,52.39,98,100,4.43
80,Nsanje,MW,2021-09-18 20:00:46,-16.92,35.262,70.52,74,100,5.77
81,Auki,SB,2021-09-18 20:00:46,-8.7676,160.7034,77.86,88,86,4.5
82,Vao,NC,2021-09-18 20:00:47,-22.6667,167.4833,69.28,62,49,19.26
83,Sao Sepe,BR,2021-09-18 20:00:47,-30.1606,-53.5653,72.27,73,85,4.85
84,Xichang,CN,2021-09-18 20:00:48,27.8964,102.2634,59.54,98,100,2.64
85,Arraial Do Cabo,BR,2021-09-18 19:59:50,-22.9661,-42.0278,82.36,78,40,6.91
86,Yulara,AU,2021-09-18 20:00:49,-25.2406,130.9889,54.91,51,0,9.86
87,Avarua,CK,2021-09-18 20:00:49,-21.2078,-159.775,78.85,69,81,13.8
88,Jamestown,US,2021-09-18 20:00:00,42.097,-79.2353,80.29,74,73,3.0
89,Ostersund,SE,2021-09-18 20:00:50,63.1792,14.6357,45.05,81,90,11.5
90,Vardo,NO,2021-09-18 20:00:02,70.3705,31.1107,45.39,77,4,17.38
91,Grand-Santi,GF,2021-09-18 20:00:51,4.25,-54.3833,83.08,68,99,2.44
92,Santa Rosa,PH,2021-09-18 19:57:20,14.3122,121.1114,84.18,86,26,5.5
93,Atuona,PF,2021-09-18 19:59:52,-9.8,-139.0333,77.95,77,1,18.79
94,Bacolod,PH,2021-09-18 20:00:51,10.6667,122.95,76.82,89,72,2.64
95,Isilkul,RU,2021-09-18 20:00:52,54.9109,71.2728,43.11,89,100,10.29
96,Jacmel,HT,2021-09-18 20:00:52,18.2342,-72.5347,84.38,73,91,6.02
97,Haslett,US,2021-09-18 20:00:53,42.747,-84.4011,80.35,57,5,3.0
98,Luderitz,NA,2021-09-18 20:00:53,-26.6481,15.1594,55.11,87,38,6.53
99,Arlit,NE,2021-09-18 20:00:54,18.7369,7.3853,97.77,13,2,6.17
100,Hermanus,ZA,2021-09-18 19:59:45,-34.4187,19.2345,58.8,72,57,5.12
101,Itarema,BR,2021-09-18 20:00:55,-2.9248,-39.9167,81.18,67,3,17.92
102,Ancud,CL,2021-09-18 20:00:56,-41.8697,-73.8203,50.43,64,66,7.31
103,Los Llanos De Aridane,ES,2021-09-18 20:00:56,28.6585,-17.9182,73.15,73,75,10.36
104,Ahipara,NZ,2021-09-18 20:00:57,-35.1667,173.1667,52.66,71,12,2.59
105,Manuk Mangkaw,PH,2021-09-18 20:00:57,4.8,119.85,83.1,72,78,4.97
106,College,US,2021-09-18 20:00:58,64.8569,-147.8028,42.58,68,35,1.99
107,Solnechnyy,RU,2021-09-18 20:00:59,50.7214,136.6319,44.11,53,51,10.4
108,Bolshaya Glushitsa,RU,2021-09-18 20:00:59,50.2406,43.5908,52.25,41,100,11.12
109,Tazovskiy,RU,2021-09-18 20:01:00,67.4667,78.7,39.56,90,97,6.73
110,Portland,US,2021-09-18 19:56:26,45.5234,-122.6762,63.84,92,99,3.0
111,Alofi,NU,2021-09-18 20:01:01,-19.0595,-169.9187,77.58,81,7,14.54
112,Aklavik,CA,2021-09-18 20:01:01,68.2191,-135.0107,44.11,79,100,6.33
113,Guiratinga,BR,2021-09-18 20:01:02,-16.3494,-53.7583,100.87,9,0,6.53
114,Yar-Sale,RU,2021-09-18 20:01:02,66.8333,70.8333,32.77,98,100,24.99
115,Nikolskoye,RU,2021-09-18 20:01:03,59.7035,30.7861,48.09,81,99,6.38
116,Thohoyandou,ZA,2021-09-18 20:01:03,-22.9456,30.485,55.62,72,0,3.42
117,Deer Lake,CA,2021-09-18 20:01:04,49.1667,-57.4316,69.66,83,75,18.41
118,Sinnamary,GF,2021-09-18 20:01:04,5.3833,-52.95,82.13,79,56,6.44
119,Tevaitoa,PF,2021-09-18 20:01:05,-16.7833,-151.5,77.92,73,25,21.12
120,Komsomolskiy,UZ,2021-09-18 19:59:57,40.4272,71.7189,68.72,42,0,6.91
121,Nizhniy Kuranakh,RU,2021-09-18 20:01:05,58.8353,125.4869,36.93,77,100,4.21
122,Nouadhibou,MR,2021-09-18 20:01:06,20.931,-17.0347,74.12,88,91,8.66
123,Bathsheba,BB,2021-09-18 20:01:06,13.2167,-59.5167,83.61,68,21,10.0
124,Biograd Na Moru,HR,2021-09-18 20:01:06,43.9433,15.4519,72.75,72,8,2.68
125,Bardiyah,LY,2021-09-18 20:01:07,31.7561,25.0865,77.32,78,0,11.68
126,Langxiang,CN,2021-09-18 20:01:07,46.95,128.8833,41.83,69,100,2.26
127,Chuy,UY,2021-09-18 19:59:39,-33.6971,-53.4616,64.29,82,5,8.14
128,Puerto Carreno,CO,2021-09-18 20:01:07,6.189,-67.4859,87.53,62,67,8.93
129,Tasiilaq,GL,2021-09-18 20:01:08,65.6145,-37.6368,39.36,71,33,4.03
130,Sharan,RU,2021-09-18 20:01:08,54.8167,54.0,34.59,88,16,10.71
131,Griffith,US,2021-09-18 20:01:08,41.5284,-87.4237,86.2,67,1,1.01
132,Esperance,AU,2021-09-18 20:01:09,-33.8667,121.9,55.24,86,100,12.77
133,Longyearbyen,SJ,2021-09-18 19:59:42,78.2186,15.6401,39.4,93,100,8.95
134,Inverness,GB,2021-09-18 19:57:06,57.4791,-4.224,57.97,88,100,1.01
135,Bonavista,CA,2021-09-18 20:01:09,48.6499,-53.1147,62.47,84,70,20.29
136,Tiksi,RU,2021-09-18 19:59:54,71.6872,128.8694,34.32,78,100,16.89
137,Aasiaat,GL,2021-09-18 20:01:10,68.7098,-52.8699,26.98,67,2,3.89
138,Yerbogachen,RU,2021-09-18 20:01:10,61.2767,108.0108,38.62,70,100,5.23
139,Dingolfing,DE,2021-09-18 20:01:10,48.6333,12.5,58.48,84,16,1.63
140,Comodoro Rivadavia,AR,2021-09-18 20:01:10,-45.8667,-67.5,48.07,75,73,8.75
141,Kruisfontein,ZA,2021-09-18 20:01:11,-34.0033,24.7314,57.88,73,48,16.04
142,Kieta,PG,2021-09-18 19:59:58,-6.2167,155.6333,78.87,85,93,2.82
143,Castro,BR,2021-09-18 20:01:11,-24.7911,-50.0119,78.31,58,37,2.93
