City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Jaciara,BR,86.88,broken clouds,-15.9653,-54.9683,Taba Hotel
495,San Joaquin,US,85.35,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
499,Yanam,IN,81.0,light rain,16.7333,82.2167,The Regency Hotel
504,Umm Lajj,SA,81.36,clear sky,25.0213,37.2685,Moon light Furnished Units
506,Kampot,KH,80.65,light rain,10.6167,104.1833,Two Moons Hotel
512,Kuala Lipis,MY,87.75,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
517,Namatanai,PG,84.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
519,Eydhafushi,MV,82.65,overcast clouds,5.1033,73.0708,Soneva Fushi
520,Mahibadhoo,MV,83.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
521,Saint George,US,84.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
526,Miri,MY,89.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
528,Howard Springs,AU,88.99,scattered clouds,-12.497,131.047,buffalo beach hostel
530,Tamluk,IN,87.78,few clouds,22.3,87.9167,Green Valley Resort
533,Banda Aceh,ID,85.82,few clouds,5.5577,95.3222,Sulthan Hotel International
535,Port Keats,AU,89.98,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
547,Kharagpur,IN,83.64,scattered clouds,22.3333,87.3333,Guin Bros Lodge
553,Nishihara,JP,87.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
555,Esna,EG,81.5,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
556,Panuco,MX,81.03,scattered clouds,22.05,-98.1667,Hotel Plaza
560,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
563,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
564,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
565,Port Blair,IN,83.25,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
566,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
573,Finschhafen,PG,81.23,light rain,-6.6024,147.8681,Cossam Guest House
576,Dwarka,IN,81.37,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
582,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
586,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
596,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
597,Kingman,US,82.78,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
598,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
604,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Uncle Junior Robert
605,Praxedis Guerrero,MX,80.19,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
612,Cozumel,MX,80.67,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
617,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
628,Pandan,PH,82.99,light rain,14.0453,124.1694,Bonifacio Lodge
632,Nelson Bay,AU,81.28,clear sky,-32.7167,152.15,Mantra Nelson Bay
633,Conceicao Do Araguaia,BR,88.0,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
637,Encheng,CN,84.36,overcast clouds,22.1839,112.3026,Pinghu Hostel
638,Kanniyakumari,IN,82.26,overcast clouds,8.0833,77.5667,Sparsa
644,Muroto,JP,80.64,few clouds,33.2833,134.15,Oota Ryokan
646,Maumere,ID,83.73,overcast clouds,-8.6199,122.2111,Sylvia Hotel
647,Roebourne,AU,87.82,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
654,Sur,OM,85.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
656,Hongjiang,CN,89.73,clear sky,27.11,109.9956,洪江大酒店
661,Palasa,IN,83.21,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
673,Sibolga,ID,85.78,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
678,Kalayaan,PH,86.79,overcast clouds,14.35,121.5667,Paldc
687,Machilipatnam,IN,84.4,overcast clouds,16.1667,81.1333,R&B Bungalow
